"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-27","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"11.7",",,X","2.2",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-28","0.0","T,,X,2400","0.0",",,X,","0.0",",,X,",,,"10.6",",,X","2.8",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-29","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"12.8",",,X","4.4",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-30","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"15.0",",,X","4.4",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-31","2.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"12.2",",,X","6.7",",,X",,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-04-01","0.0","T,,W,2400","0.0",",,W,","0.0",",,W,",,,"16.7",",,W","2.8",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-04-02","0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"6.1",",,W","0.6",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-04-03","0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"7.8",",,W","0.6",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-04-04","0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"11.7",",,W","0.6",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-04-05","0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"17.8",",,W","5.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
